Idx,Date Added,Behavior gap,Source tags,Description,Filter rubric,Status
1,6/12/26,Verification dishonesty / red-test shipping,"Benchmark taxonomy, Cursor, Mercor","The model runs tests, build, typecheck, or CI, sees a failing signal, but still reports success or completion. The SWE-RL notes call this the single biggest Cursor lever: “claims success while signal is red.”",Reject if final answer claims success while any relevant signal is red. Keep only if red output is treated as blocking and resolved or clearly explained with evidence.,TODO
2,6/12/26,Failure dismissal without evidence,"Cursor, Mercor","When real failing tests appear, the model dismisses them as flaky, pre-existing, unrelated, expected, or environmental instead of investigating whether its patch caused the failure.","Reject if failure is dismissed without proof. Keep only if the agent proves causality or non-causality via targeted inspection, bisecting, logs, or baseline runs.",TODO
3,6/12/26,Wrong mechanism / non-canonical implementation,"Benchmark taxonomy, Cursor, Mercor","The model changes the right area but uses the wrong approach: bypassing repo abstractions, APIs, registries, config paths, adapters, framework conventions, or idiomatic mechanisms.","Reject parallel mechanisms, duplicated logic, bypasses, direct hacks, or non-idiomatic APIs. Keep if the fix uses the repo’s canonical path.",TODO
4,6/12/26,Incomplete fix / missing wiring,"Benchmark taxonomy, Cursor, Mercor","The model identifies the right place and general approach, but misses required callsites, configs, tests, generated artifacts, docs, dependency wiring, or cross-package/service integration.",Reject single-site patches when broader wiring is required. Keep if the trajectory searches for and updates all affected integration points.,TODO
5,6/12/26,Subtle contract or logic error,"Benchmark taxonomy, Cursor, Mercor","The model has the right location and rough approach, but makes a small correctness mistake: wrong boundary, ordering, condition, type behavior, fallback, compatibility path, or edge-case handling.",Keep only if the patch matches the exact contract and tests cover the edge case. Reject fixes that merely satisfy the visible fixture.,TODO
6,6/12/26,Tool protocol / schema unreliability,"Cursor, Factory","Factory observed failures where the model emitted pseudo-tool markup as plain text, malformed skill calls, invalid file-tool inputs, repeated schema mistakes, or planned tool calls that were never executed. Cursor also flags schema adherence and tool-contract violations.","Hard reject fake tool markup, malformed calls, missing required fields, repeated schema mistakes, or planned-but-unexecuted tool calls.",TODO
7,6/12/26,Long-horizon convergence failure,"Cursor, Mercor, Factory","The model struggles on long autonomous tasks: Mercor notes early termination and large message-count gaps, while Factory observed broad debugging sessions that explored many files but did not converge to a root cause or patch.","Reject broad exploration with no narrowing hypothesis, patch, or validation. Keep if the agent maintains a live hypothesis/checklist and converges to verified closure.",TODO
8,6/12/26,Weak regression awareness,"Cursor, Mercor, Factory","The model may run narrow checks but fails to re-run broader affected suites, so over-broad edits break previously passing behavior. This is called out in the SWE-RL notes as “no regression awareness.”","Keep if the agent runs scoped tests first, then relevant regression checks. Reject broad edits without broader validation.",TODO
9,6/12/26,Under-testing / weak test authoring,"Mercor, Cursor, Factory","Mercor notes test authoring as a clean discipline gap, especially on long tasks where Ultra produced far fewer test LOC than stronger baselines. Factory, by contrast, shows the model can do well when asked for invariant/regression tests.","Keep if tests would fail before the fix and pass after. Reject deleted, weakened, vacuous, or implementation-only tests.",TODO
10,6/12/26,Typed-language build/toolchain failures,"Mercor, Factory","The SWE-RL notes identify build errors as especially concentrated in typed/toolchain-heavy languages like C++, Rust, Java, and Go. Factory also saw predictable React/TypeScript build failures in UI generation.","Reject unresolved compiler/type/build errors, wrong imports, unavailable symbols, or ad hoc scripts replacing canonical tooling. Keep only green canonical build/test/typecheck.",TODO
11,6/12/26,Poor failure recovery / repeated hypothesis,"Cursor, Mercor, Factory","After failed tests or builds, the model sometimes reruns the same command, keeps the same diagnosis, or tweaks code reactively instead of changing hypothesis based on evidence.",Reject repeated reruns or edits without new evidence. Keep if each failure leads to targeted inspection and a revised hypothesis.,TODO
12,6/12/26,Large generation without preflight (planning/pre-check),"Factory, Mercor","Factory’s generated UI example showed the model creating broad frontend code before checking installed libraries, exported symbols, existing component patterns, TypeScript types, routes, hooks, props, or icon availability, leading to long build-fix loops.","Reject broad codegen followed by predictable build loops. Keep if the agent preflights exports, types, routes, installed libraries, and existing patterns before generating.",TODO
13,6/12/26,Context handling failure,"Cursor, Mercor","Cursor notes that when tool output is truncated, the model should narrow the next call rather than confidently synthesize missing content. This also connects to Mercor’s token/command inefficiency observations.","Reject confident synthesis from unseen/truncated content. Keep if the next step narrows via grep, range reads, targeted file inspection, or smaller commands.",TODO
14,6/12/26,Command/token inefficiency,"Mercor, Factory","Mercor/DeepSWE analysis shows token bloat, excessive agent steps, whole-file reads, inefficient command choices, and repeated noisy commands. Factory also saw excessive exploration and CI polling in production traces.","Downweight whole-file cat, redundant commands, excessive output, and token bloat. Keep concise, targeted reads/searches and short purposeful reasoning.",TODO
15,6/12/26,Edit thrash / over-editing,"Mercor, Factory",DeepSWE analysis showed heavy same-file repetition and file-edit thrash. Factory similarly observed ad hoc rewrites and unrelated changes that reduce trust in autonomous coding workflows.,"Reject excessive same-file edits, unrelated formatting churn, random tweaking, or touching tests to hide failures. Keep coherent minimal patches.",TODO
16,6/12/26,Operational hygiene failure,Factory,"Factory highlights workflow sloppiness: unrelated changes in commits, shell quoting mistakes in GitHub issue/PR creation, broad CI memory changes, excessive CI polling, ad hoc shell rewrites, and incomplete browser/manual verification.","Reject unrelated changes, unsafe broad CI edits, bad quoting, excessive polling, incomplete manual verification, or commits without diff review.",TODO
